,waittime
0,0
1,0
2,1
3,3
4,6
5,23
6,28
7,28
8,39
9,39
10,42
11,40
12,42
13,42
14,42
15,61
16,64
17,65
18,343
19,74
20,77
21,79
22,83
23,333
24,334
25,78
26,75
27,74
28,82
29,321
30,77
31,79
32,354
33,80
34,86
35,83
36,83
37,89
38,595
39,89
40,88
41,89
42,90
43,91
44,339
45,85
46,84
47,88
48,85
49,332
50,343
51,374
52,384
53,383
54,82
55,85
56,87
57,89
58,380
59,417
60,92
61,93
62,98
63,98
64,96
65,98
66,99
67,100
68,582
69,414
70,417
71,420
72,91
73,93
74,577
75,450
76,94
77,93
78,95
79,92
80,442
81,83
82,80
83,83
84,82
85,547
86,79
87,78
88,433
89,82
90,604
91,75
92,78
93,79
94,425
95,605
96,604
97,443
98,626
99,58
100,448
101,450
102,59
103,57
104,61
105,1049
106,66
107,64
108,1045
109,1038
110,1037
111,1077
112,51
113,1079
114,1081
115,1079
116,46
117,45
118,1102
119,46
120,48
121,47
122,53
123,635
124,50
125,48
126,1103
127,1105
128,644
129,45
130,39
131,38
132,36
133,41
134,46
135,1101
136,44
137,622
138,42
139,43
140,45
141,44
142,45
143,1093
144,1120
145,43
146,44
147,47
148,48
149,609
150,35
151,33
152,664
153,1085
154,655
155,1089
156,652
157,653
158,659
159,659
160,1200
161,663
162,1209
163,664
164,667
165,1080
166,1102
167,668
168,666
169,652
170,1074
171,1170
172,1185
173,635
174,628
175,632
176,1059
177,634
178,1088
179,1090
180,626
181,623
182,1225
183,619
184,620
185,1077
186,622
187,618
188,617
189,1075
190,620
191,622
192,621
193,621
194,625
195,623
196,1222
197,1224
198,623
199,1657
